text,clean_number
155. ii,155.
!5ร.ึ1,15.01
258,258
258,258
190. 00 p ii,190.00
190. 00,190.00
99. 00,99.00
99. 00,99.00
198. 00,198.00
12. 95,12.95
75.00,75.00
o.00,0.00
คูปองสวนลด 15 บาท,15
60.00,60.00
"3,93",3.93
98,98
98.00,98.00
vat : 6.41,6.41
105,105
th105,105
th7,7
876.00,876.00
"156,00",156.00
72.24,72.24
"1,104.00",1104.00
60.00,60.00
60.00,60.00
8120.00,8120.00
61. 00,61.00
61. w0,61.
"3,99",3.99
"27, 00",27.00
25. 00,25.00
30. 00,30.00
i. ooi,1.001
i. oh,1.0
82.00,82.00
154.00,154.00
10.07,10.07
154.00,154.00
1s. 00,15.00
1d. q0,10.
1s. 00,15.00
1s. 00,15.00
2า. 00md,21.000
0. 00],0.000
82. 00,82.00
ข. q0,.00
i. 00,00
12. o0,12.
12. o0,12.
i. oon,1.00
54. 00,54.00
ai. ni,01.1
.q0,.00
a. q0,0.00
105,105
th105,105
th7,7
20.50||,20.5011
43,43
วช.ํf,.01
159.50||,159.5011
65,65
52. 00||,52.0011
430.00,430.00
'44,44
"""337',"""")|`]""",0337.0001000
134.00||,134.0011
32.50||,32.5011
60. 00v,60.00
25. 00v,25.00
21. 00v,21.00
16. 50||,16.5011
30. 00||,30.0011
56. 00v,56.00
24. 00v,24.00
399. 00,399.00
7. 00,7.00
24,24
"25,00",25.00
25.00,25.00
"20, 00",20.00
20.00,20.00
178.00,178.00
69.00,69.00
40.00,40.00
"20,00",20.00
"26,20",26.20
"8497,80",8497.80
15.00,15.00
4o.00,40.00
30.00,30.00
200.00,200.00
180.00,180.00
350.00,350.00
4o.00,40.00
30.00,30.00
"50,00",50.00
150.00,150.00
250.00,250.00
93.45,93.45
"1,428.45",1428.45
420.00,420.00
"250,00",250.00
190.00,190.00
"40,00",40.00
"90,00",90.00
"69,30",69.30
"1,059.30",1059.30
90.00,90.00
 a.00,0.00
a.00,0.00
85.00,85.00
0.00,0.00
85.00,85.00
3260.00,3260.00
"50,00",50.00
3.27,3.27
5o.00,50.00
8390. 00,8390.00
825. 51,825.51
8390,8390
"190,00",190.00
1b520.00,1520.00
b1o.00,10.00
1129:99,112999
189:99,18999
b88o.00,880.00
b57.57,57.57
1. 00,1.00
"90, 00",90.00
"28, 00",28.00
22.00,22.00
44. 00,44.00
40 . 00,40.
49. 00,49.00
49. 00,49.00
130. 00,130.00
o. oon,0.00
0. 00n,0.00
o. o0n,0.00
l. 0)(),0000
)i,01
10. 00),10.000
"30),0)0",300.000
ja1. q0i,01.001
i. o0,1.00
)6. 00,00
53. 0(,53.00
"9, 00",9.00
4. 00,4.00
"0, 00i{",0.001
"0, 00]",0.000
"0, oon",0.
19. 00,19.00
196.00,196.00
196.00,196.00
392.00,392.00
"54,88",54.88
-22.50,22.50
816.38,816.38
"!.., .",.
39od,3900
uอo,0
158 00,15800
439.00,439.00
s0 od,50000
20.00,20.00
4500,4500
998 00,99800
42.00,42.00
"45, 00",45.00
!`/. 00,00
"60, 00",60.00
30. 00,30.00
i.wn,1.
i6. lu,16.1
"5'), 00",50.00
"23, 0)0)",23.0000
61. 00,61.00
22 .00,22.00
39.00,39.00
17. 00,17.00
109. 00,109.00
2.00,2.00
2.00,2.00
"19, 00",19.00
27.00,27.00
1. 00,1.00
20. 00,20.00
1. 00,1.00
3.00,3.00
1. 00,1.00
1. 00,1.00
538. 00,538.00
